RANK_DOUBLON;CODE_COMMUNE;ID_BASE_EXTERNE;CODE_IDENTIFIANT_EXTERNE;NOM_COMMUNE;NOMENCL_INSEE;NOMENCL_DEPARTEMENT;NOMENCL_REGION_INSEE;CODE_PAYS;CODE_BASSIN;CODE_CANTON;CODE_POSTAL;PLUS_UTILISE
0;3223;;;LA FERTE SOUS JOUARRE;77183;77;11;1;;982;77260;0
0;3149;;;LA FLAMENGRIE;2312;2;32;1;;641;2260;0
0;2324;;;LA FLAMENGRIE;59232;59;32;1;;1701;59570;0
0;432;;;LA GARDE;83062;83;93;1;;1759;83130;0
0;433;;;LA GARENNE COLOMBES;92035;92;11;1;;1695;92250;0
0;1253;;;LA GORGUE;59268;59;32;1;;118;59253;0
0;3062;;;LA GROISE;59274;59;32;1;;408;59360;0
0;3588;;;LA HAYE LE COMTE;27321;27;28;1;;;27400;0
0;1807;;;LA HERELLE;60311;60;32;1;;1403;60120;0
0;2734;;;LA HERLIERE;62434;62;32;1;;1516;62158;0
0;3500;;;LA HOUSSOYE;60319;60;32;1;;;60390;0
0;2657;;;LA LANDEC;22097;22;53;1;;361;22980;0
0;2242;;;LA LOGE;62521;62;32;1;;1149;62140;0
0;2036;;;LA LONDE;76391;76;28;1;;720;76500;0
0;2319;;;LA LONGUEVILLE;59357;59;32;1;;1701;59570;0
0;434;;;LA MADELEINE;59368;59;32;1;;823;59110;0
0;2394;;;LA NEUVILLE;59427;59;32;1;;781;59239;0
0;435;;;LA NEUVILLE EN HEZ;60454;60;32;1;;1129;60510;0
0;3353;;;LA NEUVILLE LES BRAY;80593;80;32;1;;931;80340;0
0;957;;;LA NEUVILLE ROY;60456;60;32;1;;512;60190;0
0;1753;;;LA NEUVILLE SIRE BERNARD;80595;80;32;1;;860;80110;0
0;1835;;;LA NEUVILLE ST PIERRE;60457;60;32;1;;1403;60480;0
0;3000;;;LA NEUVILLE SUR RESSONS;60459;60;32;1;;512;60490;0
